grid,position,points,laps,fastestLapTime,fastestLapSpeed,statusId
1,1.0,10.0,58,1:27.452,218.3,1
5,2.0,8.0,58,1:27.739,217.586,1
7,3.0,6.0,58,1:28.090,216.719,1
11,4.0,5.0,58,1:28.603,215.464,1
3,5.0,4.0,58,1:27.418,218.385,1
13,6.0,3.0,57,1:29.639,212.974,11
17,7.0,2.0,55,1:29.534,213.224,5
15,8.0,1.0,53,1:27.903,217.18,5
2,1.0,10.0,56,1:35.405,209.158,1
4,2.0,8.0,56,1:35.921,208.033,1
8,3.0,6.0,56,1:35.922,208.031,1
3,4.0,5.0,56,1:36.068,207.715,1
9,5.0,4.0,56,1:35.462,209.033,1
5,6.0,3.0,56,1:35.366,209.244,1
6,7.0,2.0,56,1:36.696,206.366,1
7,8.0,1.0,56,1:36.288,207.24,1
12,9.0,0.0,56,1:36.206,207.417,1
11,10.0,0.0,56,1:35.715,208.481,1
13,11.0,0.0,56,1:36.956,205.812,1
17,12.0,0.0,55,1:36.962,205.8,11
14,13.0,0.0,55,1:36.693,206.372,11
16,14.0,0.0,55,1:36.782,206.182,11
21,15.0,0.0,55,1:38.171,203.265,11
19,16.0,0.0,54,1:38.504,202.578,12
22,17.0,0.0,54,1:37.711,204.222,12
2,1.0,10.0,57,1:33.600,208.153,1
4,2.0,8.0,57,1:33.709,207.911,1
1,3.0,6.0,57,1:33.775,207.765,1
6,4.0,5.0,57,1:33.565,208.231,1
5,5.0,4.0,57,1:33.193,209.062,1
7,6.0,3.0,57,1:34.204,206.819,1
11,7.0,2.0,57,1:34.305,206.597,1
8,8.0,1.0,57,1:34.072,207.109,1
13,9.0,0.0,57,1:34.807,205.503,1
10,10.0,0.0,57,1:35.194,204.668,1
12,11.0,0.0,57,1:34.855,205.399,1
18,12.0,0.0,56,1:35.057,204.963,11
3,13.0,0.0,56,1:35.520,203.969,11
16,14.0,0.0,56,1:35.433,204.155,11
15,15.0,0.0,56,1:35.333,204.369,11
21,16.0,0.0,56,1:35.324,204.389,11
22,17.0,0.0,56,1:35.891,203.18,11
17,18.0,0.0,56,1:35.351,204.331,11
20,19.0,0.0,56,1:35.442,204.136,12
1,1.0,10.0,66,1:21.670,205.191,1
3,2.0,8.0,66,1:21.801,204.863,1
5,3.0,6.0,66,1:22.017,204.323,1
4,4.0,5.0,66,1:22.106,204.102,1
7,5.0,4.0,66,1:22.564,202.969,1
13,6.0,3.0,66,1:22.353,203.489,1
12,7.0,2.0,66,1:23.549,200.576,1
8,8.0,1.0,66,1:22.758,202.494,1
9,9.0,0.0,66,1:22.519,203.08,1
19,10.0,0.0,65,1:23.439,200.841,11
14,11.0,0.0,65,1:23.007,201.886,11
17,12.0,0.0,65,1:22.842,202.288,11
22,13.0,0.0,65,1:24.617,198.045,11
1,1.0,10.0,58,1:26.666,221.734,1
3,2.0,8.0,58,1:26.529,222.085,1
4,3.0,6.0,58,1:26.506,222.144,1
5,4.0,5.0,58,1:26.780,221.442,1
9,5.0,4.0,58,1:27.219,220.328,1
7,6.0,3.0,58,1:27.280,220.174,1
6,7.0,2.0,58,1:27.630,219.294,1
11,8.0,1.0,58,1:27.795,218.882,1
10,9.0,0.0,58,1:27.966,218.457,1
8,10.0,0.0,58,1:27.926,218.556,1
13,11.0,0.0,57,1:27.998,218.377,11
2,12.0,0.0,57,1:27.640,219.269,11
15,13.0,0.0,57,1:28.303,217.623,11
12,14.0,0.0,57,1:28.017,218.33,11
17,15.0,0.0,57,1:27.867,218.703,11
19,16.0,0.0,57,1:28.780,216.454,11
14,17.0,0.0,57,1:28.180,217.926,11
3,1.0,10.0,76,1:18.510,153.152,1
5,2.0,8.0,76,1:17.933,154.286,1
1,3.0,6.0,76,1:17.886,154.379,1
9,4.0,5.0,76,1:19.036,152.133,1
19,5.0,4.0,76,1:18.787,152.614,1
14,6.0,3.0,76,1:19.574,151.104,1
13,7.0,2.0,76,1:19.910,150.469,1
4,8.0,1.0,76,1:17.282,155.586,1
2,9.0,0.0,76,1:16.689,156.789,1
7,10.0,0.0,75,1:17.869,154.413,11
11,11.0,0.0,75,1:19.582,151.089,11
10,12.0,0.0,75,1:19.618,151.021,11
8,13.0,0.0,75,1:19.830,150.62,11
12,14.0,0.0,72,1:20.251,149.829,14
2,1.0,10.0,70,1:17.539,202.473,1
8,2.0,8.0,70,1:17.430,202.758,1
13,3.0,6.0,70,1:18.085,201.057,1
11,4.0,5.0,70,1:19.087,198.51,1
6,5.0,4.0,70,1:18.006,201.261,1
14,6.0,3.0,70,1:18.870,199.056,1
9,7.0,2.0,70,1:18.301,200.503,1
19,8.0,1.0,70,1:18.532,199.913,1
7,9.0,0.0,70,1:18.462,200.091,1
5,10.0,0.0,70,1:17.977,201.336,1
20,11.0,0.0,70,1:19.352,197.847,1
10,12.0,0.0,70,1:18.201,200.759,1
18,13.0,0.0,69,1:18.620,199.689,11
2,1.0,10.0,70,1:16.729,206.956,1
1,2.0,8.0,70,1:16.630,207.224,1
4,3.0,6.0,70,1:17.567,204.721,1
10,4.0,5.0,70,1:17.134,205.87,1
5,5.0,4.0,70,1:17.172,205.768,1
6,6.0,3.0,70,1:17.507,204.879,1
9,7.0,2.0,70,1:17.758,204.218,1
3,8.0,1.0,70,1:17.641,204.525,1
7,9.0,0.0,70,1:17.818,204.06,1
13,10.0,0.0,70,1:17.453,205.022,1
8,11.0,0.0,70,1:17.836,204.013,1
12,12.0,0.0,70,1:17.760,204.212,1
11,13.0,0.0,70,1:17.716,204.328,1
20,14.0,0.0,69,1:17.969,203.665,11
15,15.0,0.0,69,1:18.054,203.443,11
19,16.0,0.0,69,1:18.311,202.776,11
14,17.0,0.0,69,1:18.216,203.022,11
17,18.0,0.0,69,1:18.557,202.141,11
18,19.0,0.0,69,1:18.462,202.385,11
4,1.0,10.0,60,1:32.817,199.398,1
5,2.0,8.0,60,1:32.719,199.609,1
16,3.0,6.0,60,1:33.386,198.183,1
3,4.0,5.0,59,1:32.150,200.842,11
1,5.0,4.0,59,1:33.130,198.728,11
6,6.0,3.0,59,1:33.133,198.722,11
14,7.0,2.0,59,1:33.808,197.292,11
15,8.0,1.0,59,1:34.277,196.31,11
20,9.0,0.0,59,1:34.797,195.234,11
2,10.0,0.0,59,1:32.952,199.109,11
13,11.0,0.0,59,1:33.367,198.224,11
12,12.0,0.0,59,1:34.610,195.619,11
9,13.0,0.0,58,1:33.257,198.458,12
1,1.0,10.0,67,1:16.039,216.552,1
17,2.0,8.0,67,1:16.910,214.099,1
2,3.0,6.0,67,1:16.502,215.241,1
12,4.0,5.0,67,1:15.987,216.7,1
3,5.0,4.0,67,1:16.495,215.261,1
6,6.0,3.0,67,1:16.342,215.692,1
7,7.0,2.0,67,1:16.610,214.937,1
9,8.0,1.0,67,1:16.772,214.484,1
4,9.0,0.0,67,1:17.023,213.785,1
13,10.0,0.0,67,1:17.380,212.799,1
5,11.0,0.0,67,1:17.115,213.53,1
15,12.0,0.0,67,1:16.969,213.935,1
10,13.0,0.0,67,1:16.994,213.866,1
16,14.0,0.0,67,1:17.691,211.947,1
19,15.0,0.0,67,1:17.889,211.408,1
20,16.0,0.0,67,1:18.208,210.546,1
14,17.0,0.0,66,1:17.636,212.097,11
2,1.0,10.0,70,1:21.753,192.917,1
5,2.0,8.0,70,1:21.671,193.111,1
6,3.0,6.0,70,1:21.195,194.243,1
7,4.0,5.0,70,1:21.793,192.823,1
1,5.0,4.0,70,1:21.493,193.533,1
10,6.0,3.0,70,1:21.537,193.428,1
9,7.0,2.0,70,1:21.638,193.189,1
4,8.0,1.0,70,1:21.941,192.475,1
8,9.0,0.0,70,1:22.125,192.043,1
15,10.0,0.0,70,1:22.183,191.908,1
13,11.0,0.0,70,1:22.732,190.634,1
12,12.0,0.0,69,1:22.397,191.409,11
16,13.0,0.0,69,1:23.307,189.319,11
14,14.0,0.0,69,1:22.397,191.409,11
18,15.0,0.0,69,1:22.641,190.844,11
17,16.0,0.0,68,1:22.436,191.319,12
3,17.0,0.0,67,1:21.355,193.861,5
19,18.0,0.0,67,1:23.220,189.516,13
1,1.0,10.0,57,1:38.708,197.637,1
2,2.0,8.0,57,1:38.884,197.285,1
3,3.0,6.0,57,1:39.330,196.399,1
5,4.0,5.0,57,1:39.112,196.831,1
7,5.0,4.0,57,1:39.657,195.755,1
6,6.0,3.0,57,1:39.485,196.093,1
13,7.0,2.0,57,1:39.535,195.995,1
9,8.0,1.0,57,1:39.577,195.912,1
8,9.0,0.0,57,1:39.526,196.013,1
10,10.0,0.0,57,1:39.639,195.79,1
15,11.0,0.0,57,1:39.544,195.977,1
14,12.0,0.0,56,1:40.264,194.57,11
16,13.0,0.0,56,1:40.763,193.606,11
18,14.0,0.0,56,1:40.353,194.397,11
11,15.0,0.0,56,1:39.803,195.469,11
19,16.0,0.0,56,1:40.593,193.933,11
17,17.0,0.0,56,1:40.978,193.194,11
2,1.0,10.0,44,1:48.222,232.987,1
5,2.0,8.0,44,1:49.067,231.182,1
1,3.0,6.0,44,1:48.135,233.175,1
6,4.0,5.0,44,1:49.238,230.82,1
10,5.0,4.0,44,1:49.086,231.142,1
8,6.0,3.0,44,1:48.965,231.399,1
9,7.0,2.0,44,1:49.002,231.32,1
7,8.0,1.0,44,1:49.515,230.236,1
13,9.0,0.0,44,1:50.255,228.691,1
3,10.0,0.0,43,1:48.223,232.985,6
14,11.0,0.0,43,1:50.177,228.853,11
15,12.0,0.0,43,1:50.656,227.862,11
18,13.0,0.0,43,1:50.487,228.211,11
19,14.0,0.0,43,1:50.970,227.218,11
17,15.0,0.0,43,1:50.671,227.832,11
11,16.0,0.0,43,1:50.543,228.095,11
20,17.0,0.0,43,1:51.701,225.731,11
4,18.0,0.0,42,1:47.930,233.618,20
1,1.0,10.0,53,1:30.510,230.414,1
2,2.0,8.0,53,1:30.300,230.95,1
11,3.0,6.0,53,1:30.298,230.955,1
8,4.0,5.0,53,1:29.961,231.82,1
10,5.0,4.0,53,1:29.807,232.217,1
6,6.0,3.0,53,1:29.696,232.505,1
15,7.0,2.0,53,1:29.721,232.44,1
3,8.0,1.0,53,1:29.681,232.544,1
14,9.0,0.0,53,1:28.047,236.859,1
17,10.0,0.0,53,1:30.918,229.38,1
9,11.0,0.0,53,1:29.948,231.853,1
18,12.0,0.0,53,1:30.215,231.167,1
7,13.0,0.0,53,1:30.853,229.544,1
5,14.0,0.0,53,1:30.019,231.671,1
19,15.0,0.0,53,1:29.827,232.166,1
13,16.0,0.0,52,1:32.459,225.557,11
16,17.0,0.0,52,1:33.918,222.053,11
4,18.0,0.0,52,1:29.258,233.646,11
20,19.0,0.0,51,1:33.458,223.146,12
15,1.0,10.0,61,1:45.768,172.464,1
8,2.0,8.0,61,1:46.454,171.352,1
2,3.0,6.0,61,1:46.072,171.969,1
7,4.0,5.0,61,1:47.044,170.408,1
6,5.0,4.0,61,1:47.271,170.047,1
9,6.0,3.0,61,1:47.306,169.992,1
14,7.0,2.0,61,1:47.562,169.587,1
10,8.0,1.0,61,1:47.287,170.022,1
12,9.0,0.0,61,1:48.128,168.7,1
5,10.0,0.0,61,1:47.337,169.943,1
4,11.0,0.0,61,1:46.899,170.639,1
17,12.0,0.0,61,1:47.820,169.181,1
1,13.0,0.0,61,1:45.757,172.482,1
20,14.0,0.0,61,1:49.101,167.195,1
3,15.0,0.0,57,1:45.599,172.74,3
4,1.0,10.0,67,1:19.101,207.668,1
6,2.0,8.0,67,1:19.292,207.168,1
2,3.0,6.0,67,1:18.995,207.947,1
12,4.0,5.0,67,1:19.199,207.411,1
7,5.0,4.0,67,1:19.524,206.564,1
9,6.0,3.0,67,1:19.617,206.322,1
5,7.0,2.0,67,1:18.426,209.456,1
13,8.0,1.0,67,1:19.820,205.798,1
16,9.0,0.0,67,1:19.461,206.727,1
10,10.0,0.0,67,1:19.262,207.246,1
15,11.0,0.0,67,1:19.531,206.545,1
1,12.0,0.0,67,1:19.560,206.47,1
17,13.0,0.0,66,1:20.575,203.869,11
18,14.0,0.0,66,1:20.849,203.178,11
14,15.0,0.0,66,1:20.364,204.404,11
1,1.0,10.0,56,1:36.325,203.722,1
3,2.0,8.0,56,1:36.591,203.161,1
2,3.0,6.0,56,1:36.483,203.389,1
4,4.0,5.0,56,1:36.659,203.018,1
9,5.0,4.0,56,1:36.498,203.357,1
11,6.0,3.0,56,1:36.854,202.61,1
12,7.0,2.0,56,1:36.727,202.876,1
10,8.0,1.0,56,1:36.996,202.313,1
6,9.0,0.0,56,1:37.212,201.863,1
15,10.0,0.0,56,1:37.753,200.746,1
13,11.0,0.0,56,1:37.845,200.558,1
17,12.0,0.0,56,1:38.019,200.202,1
8,13.0,0.0,56,1:37.452,201.366,1
16,14.0,0.0,56,1:37.680,200.896,1
14,15.0,0.0,55,1:37.246,201.793,11
18,16.0,0.0,55,1:37.773,200.705,11
20,17.0,0.0,55,1:38.372,199.483,11
1,1.0,10.0,71,1:13.736,210.377,1
6,2.0,8.0,71,1:14.229,208.98,1
3,3.0,6.0,71,1:14.117,209.296,1
7,4.0,5.0,71,1:14.214,209.022,1
4,5.0,4.0,71,1:14.159,209.177,1
10,6.0,3.0,71,1:14.057,209.465,1
5,7.0,2.0,71,1:14.207,209.042,1
2,8.0,1.0,71,1:14.167,209.155,1
12,9.0,0.0,71,1:15.033,206.741,1
8,10.0,0.0,70,1:14.652,207.796,11
13,11.0,0.0,70,1:14.375,208.57,11
18,12.0,0.0,70,1:14.934,207.014,11
17,13.0,0.0,70,1:14.759,207.498,11
9,14.0,0.0,70,1:14.951,206.967,11
15,15.0,0.0,70,1:15.414,205.696,11
20,16.0,0.0,69,1:15.773,204.721,12
16,17.0,0.0,69,1:15.865,204.473,12
19,18.0,0.0,69,1:15.212,206.249,12
1,1.0,10.0,58,1:25.235,223.978,1
2,2.0,8.0,58,1:26.314,221.178,1
4,3.0,6.0,58,1:26.351,221.083,1
3,4.0,5.0,58,1:26.722,220.137,1
6,5.0,4.0,58,1:26.892,219.707,1
22,6.0,3.0,58,1:27.044,219.323,1
12,7.0,2.0,57,1:26.721,220.14,11
9,8.0,1.0,57,1:27.796,217.444,11
8,9.0,0.0,57,1:28.034,216.857,11
13,10.0,0.0,57,1:27.592,217.951,11
16,11.0,0.0,57,1:28.098,216.699,11
10,12.0,0.0,57,1:28.487,215.746,11
7,13.0,0.0,57,1:27.501,218.178,11
19,14.0,0.0,57,1:28.282,216.247,11
14,15.0,0.0,57,1:28.387,215.991,11
11,16.0,0.0,56,1:28.489,215.742,12
20,17.0,0.0,56,1:28.687,215.26,12
2,1.0,10.0,56,1:36.861,206.014,1
4,2.0,8.0,56,1:36.701,206.355,1
3,3.0,6.0,56,1:37.228,205.237,1
5,4.0,5.0,56,1:37.417,204.838,1
1,5.0,4.0,56,1:37.199,205.298,1
12,6.0,3.0,56,1:37.879,203.872,1
8,7.0,2.0,56,1:38.016,203.587,1
11,8.0,1.0,56,1:37.810,204.015,1
19,9.0,0.0,56,1:37.864,203.903,1
10,10.0,0.0,56,1:38.540,202.504,1
22,11.0,0.0,55,1:38.566,202.451,11
15,12.0,0.0,55,1:38.658,202.262,11
14,13.0,0.0,55,1:38.496,202.595,11
17,14.0,0.0,55,1:39.098,201.364,11
9,15.0,0.0,55,1:39.243,201.07,11
18,16.0,0.0,55,1:39.566,200.417,11
16,17.0,0.0,55,1:38.447,202.695,11
7,18.0,0.0,55,1:38.874,201.82,11
1,1.0,10.0,57,1:34.067,207.12,1
2,2.0,8.0,57,1:34.270,206.674,1
3,3.0,6.0,57,1:34.357,206.483,1
5,4.0,5.0,57,1:34.470,206.236,1
4,5.0,4.0,57,1:34.420,206.346,1
6,6.0,3.0,57,1:34.819,205.477,1
9,7.0,2.0,57,1:35.153,204.756,1
7,8.0,1.0,57,1:35.200,204.655,1
12,9.0,0.0,57,1:35.475,204.065,1
10,10.0,0.0,57,1:35.556,203.893,1
11,11.0,0.0,56,1:35.992,202.966,11
14,12.0,0.0,56,1:35.845,203.278,11
15,13.0,0.0,56,1:35.842,203.284,11
22,14.0,0.0,55,1:37.184,200.477,12
20,15.0,0.0,53,1:36.772,201.33,14
13,16.0,0.0,51,1:36.111,202.715,5
1,1.0,10.0,65,1:22.680,202.685,1
4,2.0,8.0,65,1:22.876,202.205,1
2,3.0,6.0,65,1:22.966,201.986,1
5,4.0,5.0,65,1:23.129,201.59,1
9,5.0,4.0,65,1:23.524,200.636,1
11,6.0,3.0,65,1:23.693,200.231,1
8,7.0,2.0,65,1:22.980,201.952,1
13,8.0,1.0,64,1:24.110,199.239,11
10,9.0,0.0,64,1:23.560,200.55,11
12,10.0,0.0,64,1:24.287,198.82,11
15,11.0,0.0,64,1:24.291,198.811,11
14,12.0,0.0,64,1:24.186,199.059,11
20,13.0,0.0,63,1:25.191,196.71,12
21,14.0,0.0,63,1:25.260,196.551,12
1,1.0,10.0,78,1:15.284,159.715,1
2,2.0,8.0,78,1:15.372,159.528,1
3,3.0,6.0,78,1:16.183,157.83,1
4,4.0,5.0,77,1:16.254,157.683,11
8,5.0,4.0,77,1:16.006,158.198,11
7,6.0,3.0,77,1:17.041,156.072,11
11,7.0,2.0,77,1:16.658,156.852,11
16,8.0,1.0,77,1:16.592,156.987,11
18,9.0,0.0,77,1:16.867,156.426,11
9,10.0,0.0,77,1:17.080,155.993,11
10,11.0,0.0,77,1:16.802,156.558,11
5,12.0,0.0,77,1:16.991,156.174,11
15,13.0,0.0,76,1:17.100,155.953,5
13,14.0,0.0,76,1:16.786,156.591,12
14,15.0,0.0,76,1:17.495,155.158,12
20,16.0,0.0,76,1:17.231,155.688,12
21,17.0,0.0,76,1:17.183,155.785,12
17,18.0,0.0,76,1:17.223,155.704,12
22,19.0,0.0,70,1:17.689,154.77,30
1,1.0,10.0,70,1:16.494,205.239,1
3,2.0,8.0,70,1:16.696,204.699,1
19,3.0,6.0,70,1:17.947,201.413,1
22,4.0,5.0,70,1:18.368,200.331,1
4,5.0,4.0,70,1:16.861,204.259,1
11,6.0,3.0,70,1:18.035,201.186,1
2,7.0,2.0,70,1:16.367,205.58,1
18,8.0,1.0,70,1:17.910,201.509,1
6,9.0,0.0,70,1:17.618,202.267,1
7,10.0,0.0,70,1:17.156,203.478,1
17,11.0,0.0,70,1:18.780,199.284,1
13,12.0,0.0,70,1:18.543,199.885,1
1,1.0,10.0,73,1:13.222,206.101,1
2,2.0,8.0,73,1:13.257,206.003,1
3,3.0,6.0,73,1:13.380,205.658,1
4,4.0,5.0,73,1:13.117,206.397,1
6,5.0,4.0,73,1:13.998,203.94,1
8,6.0,3.0,73,1:14.016,203.891,1
9,7.0,2.0,73,1:14.004,203.924,1
7,8.0,1.0,73,1:13.862,204.316,1
10,9.0,0.0,72,1:14.009,203.91,11
17,10.0,0.0,72,1:14.486,202.604,11
16,11.0,0.0,72,1:14.066,203.753,11
13,12.0,0.0,72,1:14.703,202.015,11
20,13.0,0.0,71,1:15.092,200.969,12
21,14.0,0.0,71,1:14.858,201.597,12
22,15.0,0.0,70,1:15.902,198.824,13
14,16.0,0.0,68,1:14.066,203.753,5
19,17.0,0.0,68,1:15.426,200.079,34
3,1.0,10.0,70,1:16.207,208.374,1
1,2.0,8.0,70,1:16.099,208.67,1
2,3.0,6.0,70,1:16.587,207.34,1
4,4.0,5.0,70,1:17.153,205.819,1
7,5.0,4.0,70,1:16.875,206.563,1
5,6.0,3.0,70,1:16.703,207.027,1
10,7.0,2.0,70,1:16.495,207.59,1
12,8.0,1.0,70,1:16.770,206.846,1
9,9.0,0.0,70,1:17.011,206.199,1
11,10.0,0.0,69,1:16.966,206.319,11
13,11.0,0.0,69,1:17.220,205.641,11
14,12.0,0.0,69,1:17.249,205.563,11
16,13.0,0.0,69,1:17.447,205.038,11
18,14.0,0.0,69,1:17.240,205.587,11
6,15.0,0.0,69,1:17.206,205.678,11
22,16.0,0.0,68,1:17.796,204.118,12
21,17.0,0.0,68,1:18.091,203.347,12
2,1.0,10.0,59,1:20.638,229.514,1
3,2.0,8.0,59,1:21.117,228.159,1
1,3.0,6.0,59,1:21.675,226.6,1
5,4.0,5.0,59,1:22.105,225.413,1
4,5.0,4.0,59,1:20.858,228.89,1
9,6.0,3.0,59,1:21.991,225.727,1
7,7.0,2.0,58,1:22.552,224.193,11
8,8.0,1.0,58,1:22.136,225.328,11
14,9.0,0.0,58,1:23.387,221.948,11
18,10.0,0.0,58,1:23.581,221.433,11
12,11.0,0.0,58,1:23.118,222.666,11
17,12.0,0.0,58,1:22.896,223.262,11
13,13.0,0.0,58,1:22.693,223.81,11
21,14.0,0.0,57,1:23.413,221.879,12
22,15.0,0.0,57,1:24.390,219.31,12
16,16.0,0.0,53,1:23.628,221.308,6
2,1.0,10.0,60,1:33.231,198.783,1
3,2.0,8.0,60,1:32.853,199.592,1
6,3.0,6.0,60,1:34.449,196.22,1
12,4.0,5.0,60,1:34.235,196.665,1
20,5.0,4.0,60,1:34.316,196.496,1
4,6.0,3.0,60,1:34.354,196.417,1
5,7.0,2.0,60,1:34.451,196.216,1
7,8.0,1.0,59,1:34.603,195.9,11
10,9.0,0.0,59,1:33.401,198.421,11
13,10.0,0.0,59,1:34.893,195.302,11
14,11.0,0.0,59,1:35.632,193.792,11
15,12.0,0.0,59,1:35.282,194.504,11
8,13.0,0.0,59,1:34.496,196.122,11
1,1.0,10.0,70,1:20.171,196.724,1
3,2.0,8.0,70,1:20.047,197.029,1
2,3.0,6.0,70,1:20.582,195.721,1
6,4.0,5.0,70,1:20.324,196.349,1
7,5.0,4.0,70,1:20.419,196.117,1
5,6.0,3.0,70,1:20.961,194.804,1
4,7.0,2.0,70,1:20.672,195.502,1
11,8.0,1.0,70,1:20.935,194.867,1
9,9.0,0.0,70,1:20.915,194.915,1
8,10.0,0.0,69,1:21.253,194.104,11
10,11.0,0.0,69,1:21.553,193.39,11
13,12.0,0.0,69,1:21.695,193.054,11
14,13.0,0.0,69,1:20.981,194.756,11
12,14.0,0.0,69,1:21.264,194.078,11
19,15.0,0.0,69,1:20.980,194.759,11
20,16.0,0.0,69,1:21.915,192.536,11
21,17.0,0.0,68,1:22.263,191.721,12
18,18.0,0.0,68,1:22.004,192.327,12
1,1.0,10.0,58,1:27.922,218.566,1
3,2.0,8.0,58,1:27.295,220.136,1
4,3.0,6.0,58,1:28.070,218.199,1
6,4.0,5.0,58,1:28.319,217.583,1
2,5.0,4.0,58,1:27.963,218.464,1
7,6.0,3.0,58,1:28.603,216.886,1
8,7.0,2.0,58,1:28.536,217.05,1
5,8.0,1.0,58,1:28.918,216.118,1
10,9.0,0.0,58,1:28.793,216.422,1
13,10.0,0.0,58,1:29.068,215.754,1
14,11.0,0.0,58,1:28.737,216.559,1
16,12.0,0.0,57,1:28.924,216.103,11
21,13.0,0.0,57,1:28.873,216.227,11
11,14.0,0.0,57,1:29.658,214.334,11
15,15.0,0.0,57,1:29.563,214.561,11
9,16.0,0.0,57,1:29.459,214.811,11
22,17.0,0.0,57,1:29.513,214.681,11
17,18.0,0.0,57,1:29.916,213.719,11
18,19.0,0.0,57,1:29.983,213.56,11
20,20.0,0.0,56,1:30.951,211.287,12
19,21.0,0.0,53,1:30.617,212.066,32
1,1.0,10.0,53,1:22.871,251.653,1
2,2.0,8.0,53,1:22.936,251.456,1
5,3.0,6.0,53,1:23.370,250.147,1
4,4.0,5.0,53,1:23.681,249.217,1
6,5.0,4.0,53,1:23.908,248.543,1
8,6.0,3.0,53,1:24.472,246.884,1
7,7.0,2.0,53,1:24.226,247.605,1
10,8.0,1.0,53,1:24.532,246.708,1
11,9.0,0.0,53,1:24.824,245.859,1
12,10.0,0.0,53,1:24.767,246.024,1
9,11.0,0.0,53,1:24.622,246.446,1
15,12.0,0.0,52,1:24.849,245.787,11
13,13.0,0.0,52,1:25.000,245.35,11
14,14.0,0.0,52,1:25.116,245.016,11
18,15.0,0.0,52,1:24.951,245.492,11
17,16.0,0.0,52,1:24.669,246.309,11
19,17.0,0.0,52,1:25.373,244.278,11
16,18.0,0.0,52,1:25.313,244.45,11
21,19.0,0.0,52,1:25.377,244.267,11
22,20.0,0.0,52,1:25.478,243.978,11
1,1.0,10.0,44,1:48.095,233.261,1
2,2.0,8.0,44,1:48.036,233.388,1
3,3.0,6.0,44,1:48.182,233.073,1
4,4.0,5.0,44,1:48.215,233.002,1
6,5.0,4.0,44,1:48.663,232.042,1
5,6.0,3.0,44,1:49.769,229.704,1
7,7.0,2.0,44,1:50.049,229.119,1
9,8.0,1.0,44,1:49.600,230.058,1
14,9.0,0.0,44,1:48.894,231.549,1
10,10.0,0.0,44,1:50.022,229.175,1
8,11.0,0.0,44,1:48.990,231.345,1
13,12.0,0.0,43,1:50.730,227.71,11
17,13.0,0.0,43,1:50.678,227.817,11
19,14.0,0.0,43,1:50.902,227.357,11
18,15.0,0.0,43,1:50.886,227.39,11
20,16.0,0.0,43,1:51.391,226.359,11
21,17.0,0.0,43,1:51.648,225.838,11
1,1.0,10.0,67,1:28.193,186.259,1
11,2.0,8.0,67,1:29.655,183.222,1
3,3.0,6.0,67,1:29.619,183.295,1
12,4.0,5.0,67,1:30.086,182.345,1
10,5.0,4.0,67,1:30.387,181.738,1
4,6.0,3.0,67,1:29.588,183.359,1
9,7.0,2.0,67,1:29.021,184.527,1
20,8.0,1.0,67,1:31.891,178.763,1
14,9.0,0.0,67,1:30.653,181.205,1
17,10.0,0.0,67,1:31.060,180.395,1
6,11.0,0.0,66,1:31.951,178.647,22
22,12.0,0.0,66,1:32.130,178.3,11
13,13.0,0.0,66,1:32.414,177.752,11
5,14.0,0.0,65,1:29.084,184.396,39
21,15.0,0.0,65,1:31.507,179.514,4
2,1.0,10.0,56,1:38.285,199.66,1
4,2.0,8.0,56,1:37.991,200.259,1
3,3.0,6.0,56,1:37.454,201.362,1
17,4.0,5.0,56,1:39.890,196.452,1
10,5.0,4.0,56,1:38.913,198.392,1
11,6.0,3.0,56,1:39.654,196.917,1
8,7.0,2.0,56,1:39.325,197.569,1
5,8.0,1.0,56,1:39.640,196.945,1
13,9.0,0.0,56,1:39.331,197.557,1
7,10.0,0.0,56,1:39.371,197.478,1
18,11.0,0.0,56,1:38.900,198.418,1
19,12.0,0.0,55,1:39.743,196.741,11
12,13.0,0.0,55,1:39.911,196.41,11
20,14.0,0.0,55,1:40.126,195.989,11
16,15.0,0.0,55,1:40.516,195.228,11
15,16.0,0.0,54,1:39.233,197.752,12
22,17.0,0.0,53,1:40.764,194.748,13
3,1.0,10.0,71,1:12.445,214.126,1
1,2.0,8.0,71,1:12.584,213.716,1
4,3.0,6.0,71,1:13.150,212.062,1
10,4.0,5.0,71,1:13.159,212.036,1
7,5.0,4.0,71,1:12.686,213.416,1
6,6.0,3.0,71,1:13.452,211.19,1
2,7.0,2.0,70,1:12.506,213.946,11
8,8.0,1.0,70,1:13.361,211.452,11
9,9.0,0.0,70,1:14.195,209.076,11
19,10.0,0.0,70,1:13.116,212.161,11
15,11.0,0.0,70,1:13.368,211.432,11
18,12.0,0.0,69,1:14.914,207.069,12
14,13.0,0.0,69,1:13.643,210.643,12
20,14.0,0.0,68,1:14.329,208.699,13
4,1.0,10.0,57,1:32.534,210.551,1
1,2.0,8.0,57,1:32.523,210.576,1
22,3.0,6.0,57,1:32.864,209.803,1
3,4.0,5.0,57,1:32.729,210.109,1
5,5.0,4.0,57,1:32.771,210.013,1
7,6.0,3.0,57,1:32.660,210.265,1
12,7.0,2.0,57,1:32.408,210.838,1
8,8.0,1.0,57,1:33.212,209.02,1
2,9.0,0.0,57,1:32.739,210.086,1
13,10.0,0.0,57,1:33.376,208.653,1
15,11.0,0.0,57,1:33.480,208.421,1
10,12.0,0.0,56,1:33.772,207.772,11
16,13.0,0.0,56,1:33.108,209.253,11
17,14.0,0.0,56,1:34.112,207.021,11
